#0name	1country	2population	3latitude	4degrees	5N-S	6longitude	7degrees	8E-W
Ankara	Turkey	4233125	39.93°N	39.93	N	32.85°E	32.85	E
Mwanza	Tanzania	640569	2.52°S	2.52	S	32.89°E	32.89	E
Kryvyy Rih	Ukraine	740632	47.92°N	47.92	N	33.35°E	33.35	E
Lilongwe	Malawi	781538	13.97°S	13.97	S	33.80°E	33.8	E
Mersin	Turkey	626918	36.81°N	36.81	N	34.63°E	34.63	E
Dnipropetrovsk	Ukraine	1037861	48.45°N	48.45	N	34.98°E	34.98	E
Blantyre	Malawi	728285	15.79°S	15.79	S	34.99°E	34.99	E
Zaporizhzhya	Ukraine	776998	47.85°N	47.85	N	35.17°E	35.17	E
Jerusalem	Israel	783791	31.78°N	31.78	N	35.22°E	35.22	E
Adana	Turkey	1552757	37.00°N	37	N	35.32°E	35.32	E
Kayseri	Turkey	850442	38.74°N	38.74	N	35.48°E	35.48	E
Bayrut	Lebanon	2060363	33.89°N	33.89	N	35.50°E	35.5	E
Amman	Jordan	1243908	31.95°N	31.95	N	35.93°E	35.93	E
Kharkiv	Ukraine	1453810	49.98°N	49.98	N	36.22°E	36.22	E
Damascus	Syria	1907471	33.50°N	33.5	N	36.32°E	36.32	E
Kassala	Sudan	510165	15.46°N	15.46	N	36.39°E	36.39	E
Tabuk	Saudi Arabia	567902	28.39°N	28.39	N	36.57°E	36.57	E
Hims	Syria	900492	34.73°N	34.73	N	36.72°E	36.72	E
Hamah	Syria	527429	35.15°N	35.15	N	36.73°E	36.73	E
Nairobi	Kenya	3476632	1.29°S	1.29	S	36.82°E	36.82	E
